n_samples,n_clusters,silhouette,calinski_harabasz,davies_bouldin,response_rate_variance,response_rates,label,inertia,auc,average_precision,f1,log_loss,brier,accuracy,precision,recall,balanced_accuracy,specificity,support_pos,support_neg,lift_top20,threshold
448.0,4,0.3745176563237775,449.9035116482563,0.9597434680507666,0.009266119997912834,"{0: 0.125, 1: 0.16030534351145037, 2: 0.009708737864077669, 3: 0.2796610169491525}",rfm_kmeans,1104.065906500301,,,,,,,,,,,,,,
448.0,4,0.15762843502797422,115.53211799592354,1.888199541719515,0.010978495389845652,"{0: 0.32432432432432434, 1: 0.04201680672268908, 2: 0.14102564102564102, 3: 0.10714285714285714}",full_kmeans,23001.454280156533,,,,,,,,,,,,,,
448.0,4,0.08095115163121647,42.412266772696256,1.6946429284074138,0.014512252938267519,"{0: 0.29508196721311475, 1: 0.0, 2: 0.09872611464968153, 3: 0.0}",gmm,,,,,,,,,,,,,,,
448.0,4,0.15762843502797422,115.53211799592354,1.888199541719515,0.010978495389845652,"{0: 0.32432432432432434, 1: 0.04201680672268908, 2: 0.14102564102564102, 3: 0.10714285714285714}",cluster_then_predict,23001.45428015653,0.8937007874015748,0.6472643145667949,0.59375,0.3619068896770407,0.11630952647151195,0.8839285714285714,0.6229508196721312,0.5671641791044776,0.753398362518118,0.9396325459317585,67.0,381.0,3.343283582089552,0.72
