n_samples,n_clusters,silhouette,calinski_harabasz,davies_bouldin,response_rate_variance,response_rates,auc,average_precision,f1,log_loss,brier,ece,accuracy,precision,recall,balanced_accuracy,specificity,support_pos,support_neg,lift_top20,split,label,model_type,expert_type,gating_type,lambda,gamma,temperature,use_global_expert,hybrid_alpha,budget_reweight_alpha
224.0,3,0.24050204778484607,82.97217722835084,1.5901308264764389,0.003392156118622055,"{0: 0.23728813559322035, 1: 0.12987012987012986, 2: 0.10227272727272728}",0.8476915754402665,0.6541316133987762,0.5753424657534246,0.35175234370712044,0.10755441377363706,0.12028053448331744,0.8616071428571429,0.525,0.6363636363636364,0.7684435982865302,0.900523560209424,33.0,191.0,3.469360269360269,val,rajc_ablation,ramoe,hgbdt,gmm,0.0,0.0,0.5,False,0.0,0.0
224.0,3,0.24050204778484607,82.97217722835084,1.5901308264764389,0.003392156118622055,"{0: 0.23728813559322035, 1: 0.12987012987012986, 2: 0.10227272727272728}",0.8500713945740124,0.6391347729903603,0.6052631578947368,0.36320218553409883,0.11090728688747141,0.1429521776470982,0.8660714285714286,0.5348837209302325,0.696969696969697,0.7961288275424401,0.8952879581151832,33.0,191.0,3.469360269360269,val,rajc_ablation,ramoe,hgbdt,gmm,0.0,0.0,1.0,False,0.0,0.0
224.0,3,0.22437763927912943,79.01468754605168,1.604427012714617,0.004299266962253925,"{0: 0.23728813559322035, 1: 0.14942528735632185, 2: 0.07692307692307693}",0.8585594161510393,0.6632169755025518,0.5866666666666667,0.3478285124299209,0.10504841088518449,0.12791910457597355,0.8616071428571429,0.5238095238095238,0.6666666666666666,0.7809773123909249,0.8952879581151832,33.0,191.0,3.469360269360269,val,rajc_ablation,ramoe,hgbdt,gmm,0.0,0.0,2.0,False,0.0,0.0
224.0,3,0.24050204778484607,82.97217722835084,1.5901308264764389,0.003392156118622055,"{0: 0.23728813559322035, 1: 0.12987012987012986, 2: 0.10227272727272728}",0.8478502300491829,0.6523698255452524,0.5945945945945946,0.3542834397000668,0.1082488279787147,0.1309187954230595,0.8660714285714286,0.5365853658536586,0.6666666666666666,0.7835951134380453,0.900523560209424,33.0,191.0,3.469360269360269,val,rajc_ablation,ramoe,hgbdt,gmm,0.1,0.0,0.5,False,0.0,0.0
224.0,3,0.24050204778484607,82.97217722835084,1.5901308264764389,0.003392156118622055,"{0: 0.23728813559322035, 1: 0.12987012987012986, 2: 0.10227272727272728}",0.8492781215294305,0.6383332417798567,0.6052631578947368,0.3631071662841364,0.11077410074178647,0.13975273261010884,0.8660714285714286,0.5348837209302325,0.696969696969697,0.7961288275424401,0.8952879581151832,33.0,191.0,3.469360269360269,val,rajc_ablation,ramoe,hgbdt,gmm,0.1,0.0,1.0,False,0.0,0.0
224.0,3,0.22437763927912943,79.01468754605168,1.604427012714617,0.004299266962253925,"{0: 0.23728813559322035, 1: 0.14942528735632185, 2: 0.07692307692307693}",0.8579247977153736,0.6624046482698926,0.5897435897435898,0.35082771019159037,0.10621789478564063,0.12992754684280483,0.8571428571428571,0.5111111111111111,0.696969696969697,0.7908932254481993,0.8848167539267016,33.0,191.0,3.469360269360269,val,rajc_ablation,ramoe,hgbdt,gmm,0.1,0.0,2.0,False,0.0,0.0
224.0,3,0.24050204778484607,82.97217722835084,1.5901308264764389,0.003392156118622055,"{0: 0.23728813559322035, 1: 0.12987012987012986, 2: 0.10227272727272728}",0.8489608123115977,0.6478333548002003,0.5945945945945946,0.35257474044653925,0.10742485300447269,0.12670248184216323,0.8660714285714286,0.5365853658536586,0.6666666666666666,0.7835951134380453,0.900523560209424,33.0,191.0,3.469360269360269,val,rajc_ablation,ramoe,hgbdt,gmm,0.3,0.0,0.5,False,0.0,0.0
224.0,3,0.24050204778484607,82.97217722835084,1.5901308264764389,0.003392156118622055,"{0: 0.23728813559322035, 1: 0.12987012987012986, 2: 0.10227272727272728}",0.8488021577026812,0.6320847644687252,0.6052631578947368,0.3633419461314566,0.11077189505530323,0.13748737573767505,0.8660714285714286,0.5348837209302325,0.696969696969697,0.7961288275424401,0.8952879581151832,33.0,191.0,3.469360269360269,val,rajc_ablation,ramoe,hgbdt,gmm,0.3,0.0,1.0,False,0.0,0.0
224.0,3,0.22437763927912943,79.01468754605168,1.604427012714617,0.004299266962253925,"{0: 0.23728813559322035, 1: 0.14942528735632185, 2: 0.07692307692307693}",0.8614945264159923,0.6602914854709425,0.5897435897435898,0.3492503302640438,0.10531701705864635,0.13042769800849283,0.8571428571428571,0.5111111111111111,0.696969696969697,0.7908932254481993,0.8848167539267016,33.0,191.0,3.469360269360269,val,rajc_ablation,ramoe,hgbdt,gmm,0.3,0.0,2.0,False,0.0,0.0
224.0,3,0.24050204778484607,82.97217722835084,1.5901308264764389,0.003392156118622055,"{0: 0.23728813559322035, 1: 0.12987012987012986, 2: 0.10227272727272728}",0.8467396477867681,0.6413311567580418,0.5945945945945946,0.35770215204129674,0.10897268325248025,0.1310832949609164,0.8660714285714286,0.5365853658536586,0.6666666666666666,0.7835951134380453,0.900523560209424,33.0,191.0,3.469360269360269,val,rajc_ablation,ramoe,hgbdt,gmm,1.0,0.0,0.5,False,0.0,0.0
224.0,3,0.24050204778484607,82.97217722835084,1.5901308264764389,0.003392156118622055,"{0: 0.23728813559322035, 1: 0.12987012987012986, 2: 0.10227272727272728}",0.846580993177852,0.6455523031914753,0.6133333333333333,0.3548880071619389,0.10812601413318533,0.1278480659436564,0.8705357142857143,0.5476190476190477,0.696969696969697,0.7987466285895606,0.900523560209424,33.0,191.0,3.469360269360269,val,rajc_ablation,ramoe,hgbdt,gmm,1.0,0.0,1.0,False,0.0,0.0
224.0,3,0.22437763927912943,79.01468754605168,1.604427012714617,0.004299266962253925,"{0: 0.23728813559322035, 1: 0.14942528735632185, 2: 0.07692307692307693}",0.864984927812153,0.6798259039955857,0.631578947368421,0.34202069403746627,0.10223855314881836,0.12532994507730957,0.875,0.5581395348837209,0.7272727272727273,0.8138981437410757,0.900523560209424,33.0,191.0,3.62020202020202,val,rajc_ablation,ramoe,hgbdt,gmm,1.0,0.0,2.0,False,0.0,0.0
224.0,3,0.24050204778484607,82.97217722835084,1.5901308264764389,0.003392156118622055,"{0: 0.23728813559322035, 1: 0.12987012987012986, 2: 0.10227272727272728}",0.8529271775345073,0.6591628348182449,0.5945945945945946,0.3518029715888805,0.10768238401775851,0.12365494042267061,0.8660714285714286,0.5365853658536586,0.6666666666666666,0.7835951134380453,0.900523560209424,33.0,191.0,3.62020202020202,val,rajc_ablation,ramoe,hgbdt,gmm,3.0,0.0,0.5,False,0.0,0.0
224.0,3,0.24050204778484607,82.97217722835084,1.5901308264764389,0.003392156118622055,"{0: 0.23728813559322035, 1: 0.12987012987012986, 2: 0.10227272727272728}",0.8492781215294304,0.6417053805345714,0.6027397260273972,0.3550071617684672,0.10874421521944522,0.1329388469476915,0.8705357142857143,0.55,0.6666666666666666,0.7862129144851657,0.9057591623036649,33.0,191.0,3.469360269360269,val,rajc_ablation,ramoe,hgbdt,gmm,3.0,0.0,1.0,False,0.0,0.0
224.0,3,0.22437763927912943,79.01468754605168,1.604427012714617,0.004299266962253925,"{0: 0.23728813559322035, 1: 0.14942528735632185, 2: 0.07692307692307693}",0.8665714739013167,0.6840108051015913,0.631578947368421,0.33700447014397816,0.10081070287481946,0.1213997342272895,0.875,0.5581395348837209,0.7272727272727273,0.8138981437410757,0.900523560209424,33.0,191.0,3.771043771043771,val,rajc_ablation,ramoe,hgbdt,gmm,3.0,0.0,2.0,False,0.0,0.0
224.0,4,0.1798181518350661,73.07966979409002,1.9947993284937375,0.005074763068502483,"{0: 0.125, 1: 0.2641509433962264, 2: 0.12162162162162163, 3: 0.07317073170731707}",0.8571315246707917,0.6376072651037865,0.5753424657534246,0.3347560071595751,0.10057166527479751,0.10306405885601085,0.8616071428571429,0.525,0.6363636363636364,0.7684435982865302,0.900523560209424,33.0,191.0,3.1676767676767676,val,rajc_ablation,ramoe,hgbdt,gmm,0.0,0.0,0.5,False,0.0,0.0
224.0,4,0.1798181518350661,73.07966979409002,1.9947993284937375,0.005074763068502483,"{0: 0.125, 1: 0.2641509433962264, 2: 0.12162162162162163, 3: 0.07317073170731707}",0.8668094558146915,0.6604287676619931,0.5526315789473685,0.3350820364015904,0.10059417303458858,0.11309060471620284,0.8482142857142857,0.4883720930232558,0.6363636363636364,0.760590195145169,0.8848167539267016,33.0,191.0,3.3185185185185184,val,rajc_ablation,ramoe,hgbdt,gmm,0.0,0.0,1.0,False,0.0,0.0
224.0,4,0.1798181518350661,73.07966979409002,1.9947993284937375,0.005074763068502483,"{0: 0.125, 1: 0.2641509433962264, 2: 0.12162162162162163, 3: 0.07317073170731707}",0.8693479295573537,0.6601241126768201,0.5945945945945946,0.33112392850299777,0.09969182587440743,0.11332161878260123,0.8660714285714286,0.5365853658536586,0.6666666666666666,0.7835951134380453,0.900523560209424,33.0,191.0,3.3185185185185184,val,rajc_ablation,ramoe,hgbdt,gmm,0.0,0.0,2.0,False,0.0,0.0
224.0,4,0.1798181518350661,73.07966979409002,1.9947993284937375,0.005074763068502483,"{0: 0.125, 1: 0.2641509433962264, 2: 0.12162162162162163, 3: 0.07317073170731707}",0.8563382516262098,0.6510931313001568,0.56,0.34306827113654415,0.10296576922097779,0.11836855450803126,0.8526785714285714,0.5,0.6363636363636364,0.7632079961922894,0.8900523560209425,33.0,191.0,3.1676767676767676,val,rajc_ablation,ramoe,hgbdt,gmm,0.1,0.0,0.5,False,0.0,0.0
224.0,4,0.1798181518350661,73.07966979409002,1.9947993284937375,0.005074763068502483,"{0: 0.125, 1: 0.2641509433962264, 2: 0.12162162162162163, 3: 0.07317073170731707}",0.8652229097255275,0.6632175421626467,0.5526315789473685,0.3343639869848126,0.10000288000837222,0.11197076868588403,0.8482142857142857,0.4883720930232558,0.6363636363636364,0.760590195145169,0.8848167539267016,33.0,191.0,3.3185185185185184,val,rajc_ablation,ramoe,hgbdt,gmm,0.1,0.0,1.0,False,0.0,0.0
224.0,4,0.1798181518350661,73.07966979409002,1.9947993284937375,0.005074763068502483,"{0: 0.125, 1: 0.2641509433962264, 2: 0.12162162162162163, 3: 0.07317073170731707}",0.8691892749484373,0.6648073000732379,0.5866666666666667,0.33201900291705794,0.0999282845594768,0.1138409369547821,0.8616071428571429,0.5238095238095238,0.6666666666666666,0.7809773123909249,0.8952879581151832,33.0,191.0,3.3185185185185184,val,rajc_ablation,ramoe,hgbdt,gmm,0.1,0.0,2.0,False,0.0,0.0
224.0,4,0.19904889325056946,76.39752615745269,1.8097455929737123,0.004744235611088169,"{0: 0.1076923076923077, 1: 0.2641509433962264, 2: 0.1232876712328767, 3: 0.09090909090909091}",0.8516579406631765,0.6467792571759752,0.6153846153846154,0.3579508854704411,0.10549947729506164,0.1383412559714853,0.8660714285714286,0.5333333333333333,0.7272727272727273,0.8086625416468349,0.8900523560209425,33.0,191.0,3.62020202020202,val,rajc_ablation,ramoe,hgbdt,gmm,0.3,0.0,0.5,False,0.0,0.0
224.0,4,0.1798181518350661,73.07966979409002,1.9947993284937375,0.005074763068502483,"{0: 0.125, 1: 0.2641509433962264, 2: 0.12162162162162163, 3: 0.07317073170731707}",0.8642709820720292,0.6465685936060938,0.6086956521739131,0.3259711683143907,0.09830741237157896,0.10129257999111556,0.8794642857142857,0.5833333333333334,0.6363636363636364,0.7789148024750119,0.9214659685863874,33.0,191.0,3.3185185185185184,val,rajc_ablation,ramoe,hgbdt,gmm,0.3,0.0,1.0,False,0.0,0.0
224.0,4,0.1798181518350661,73.07966979409002,1.9947993284937375,0.005074763068502483,"{0: 0.125, 1: 0.2641509433962264, 2: 0.12162162162162163, 3: 0.07317073170731707}",0.8657782008567348,0.6354112567454673,0.5714285714285714,0.3347378234395272,0.10099729143026112,0.11208879173851843,0.8526785714285714,0.5,0.6666666666666666,0.7757417102966842,0.8848167539267016,33.0,191.0,3.3185185185185184,val,rajc_ablation,ramoe,hgbdt,gmm,0.3,0.0,2.0,False,0.0,0.0
