auc,f1,log_loss,accuracy,precision,recall,model
0.8176732374534849,0.5970149253731343,0.4993141677960936,0.7589285714285714,0.547945205479452,0.6557377049180327,base
0.818779543397365,0.587360594795539,0.4967022911664424,0.7522321428571429,0.5374149659863946,0.6475409836065574,base+kmeansid
0.8132731569948708,0.6102941176470589,0.5021901856138862,0.7633928571428571,0.5533333333333333,0.680327868852459,base+gmmid
0.8178743839887359,0.5917602996254682,0.49756340457065384,0.7566964285714286,0.5448275862068965,0.6475409836065574,base+rajcid
